Subject CorResp Acc Resp RT Diapo Age_year Gender
91 1000 Image3 1 Image3 4487 45 18 female
92 1000 Image2 1 Image2 2861 33 18 female
93 1000 Image4 1 Image4 9551 44 18 female
94 1000 Image1 1 Image1 2736 12 18 female
95 1000 Image2 1 Image2 2637 10 18 female
96 1000 Image1 1 Image1 1895 4 18 female
97 1000 Image3 0 Image5 2217 20 18 female
98 1000 Image1 0 Image3 11271 39 18 female
99 1000 Image3 1 Image3 1423 26 18 female
100 1000 Image5 0 Image3 1091 6 18 female
101 1000 Image5 1 Image5 1994 8 18 female
102 1000 Image2 1 Image2 2516 41 18 female
103 1000 Image1 1 Image1 7491 11 18 female
104 1000 Image6 1 Image6 3587 14 18 female
105 1000 Image5 1 Image5 3066 40 18 female
106 1000 Image6 1 Image6 4125 29 18 female
107 1000 Image6 1 Image6 2962 32 18 female
108 1000 Image3 1 Image3 2379 42 18 female
109 1000 Image3 1 Image3 3916 28 18 female
110 1000 Image3 1 Image3 1180 37 18 female
111 1000 Image6 1 Image6 1595 16 18 female
112 1000 Image1 1 Image1 2634 18 18 female
113 1000 Image4 0 Image3 11626 1 18 female
114 1000 Image3 1 Image3 2150 2 18 female
115 1000 Image4 1 Image4 2027 3 18 female
116 1000 Image6 1 Image6 4739 43 18 female
117 1000 Image2 1 Image2 1757 5 18 female
118 1000 Image6 1 Image6 3922 38 18 female
119 1000 Image5 1 Image5 5529 30 18 female
120 1000 Image4 1 Image4 2259 23 18 female
121 1000 Image6 1 Image6 4673 36 18 female
122 1000 Image2 1 Image2 2064 17 18 female
123 1000 Image5 1 Image5 1830 15 18 female
124 1000 Image4 1 Image4 4123 27 18 female
125 1000 Image3 1 Image3 2007 24 18 female
126 1000 Image6 0 Image3 9815 34 18 female
127 1000 Image4 0 Image1 6577 21 18 female
128 1000 Image5 1 Image5 2054 9 18 female
129 1000 Image5 1 Image5 4121 13 18 female
130 1000 Image1 1 Image1 4000 35 18 female
