,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
0,91,1000,Image3,1.0,Image3,4487.0,45,18,female,33
1,92,1000,Image2,1.0,Image2,2861.0,33,18,female,41
2,93,1000,Image4,1.0,Image4,9551.0,44,18,female,30
3,94,1000,Image1,1.0,Image1,2736.0,12,18,female,15
4,95,1000,Image2,1.0,Image2,2637.0,10,18,female,7
5,96,1000,Image1,1.0,Image1,1895.0,4,18,female,3
6,97,1000,Image3,0.0,Image5,2217.0,20,18,female,20
7,98,1000,Image1,0.0,Image3,11271.0,39,18,female,40
8,99,1000,Image3,1.0,Image3,1423.0,26,18,female,16
9,100,1000,Image5,0.0,Image3,1091.0,6,18,female,5
10,101,1000,Image5,1.0,Image5,1994.0,8,18,female,8
11,102,1000,Image2,1.0,Image2,2516.0,41,18,female,27
12,103,1000,Image1,1.0,Image1,7491.0,11,18,female,10
13,104,1000,Image6,1.0,Image6,3587.0,14,18,female,13
14,105,1000,Image5,1.0,Image5,3066.0,40,18,female,12
15,106,1000,Image6,1.0,Image6,4125.0,29,18,female,25
16,107,1000,Image6,1.0,Image6,2962.0,32,18,female,44
17,108,1000,Image3,1.0,Image3,2379.0,42,18,female,28
18,109,1000,Image3,1.0,Image3,3916.0,28,18,female,24
19,110,1000,Image3,1.0,Image3,1180.0,37,18,female,11
20,111,1000,Image6,1.0,Image6,1595.0,16,18,female,31
21,112,1000,Image1,1.0,Image1,2634.0,18,18,female,34
24,115,1000,Image4,1.0,Image4,2027.0,3,18,female,6
25,116,1000,Image6,1.0,Image6,4739.0,43,18,female,32
26,117,1000,Image2,1.0,Image2,1757.0,5,18,female,4
27,118,1000,Image6,1.0,Image6,3922.0,38,18,female,29
28,119,1000,Image5,1.0,Image5,5529.0,30,18,female,26
29,120,1000,Image4,1.0,Image4,2259.0,23,18,female,19
30,121,1000,Image6,1.0,Image6,4673.0,36,18,female,39
31,122,1000,Image2,1.0,Image2,2064.0,17,18,female,22
32,123,1000,Image5,1.0,Image5,1830.0,15,18,female,14
33,124,1000,Image4,1.0,Image4,4123.0,27,18,female,42
34,125,1000,Image3,1.0,Image3,2007.0,24,18,female,18
35,126,1000,Image6,0.0,Image3,9815.0,34,18,female,45
36,127,1000,Image4,0.0,Image1,6577.0,21,18,female,37
37,128,1000,Image5,1.0,Image5,2054.0,9,18,female,23
